id,id_detail_plan_tagih,id_top,id_spk_penawaran,id_penawaran,term_payment,persen_payment,nominal_payment,desc_payment,tgl_plan_tagih,urutan,tanggal_actual_plan_tagih,tagih_mundur,alasan_mundur,file_surat_mundur,file_laporan_progress,macet,sts_invoice,created_by,created_date
, , ,001/STM/MKT-SPK/I/25, ,Penagihan 1,100%,16000000, ,2025-01-01, ,2025-02-04,, , , , , , ,
, , ,002/STM/MKT-SPK/I/24, ,Penagihan 1,30%,19560000, ,2024-02-01, ,2024-02-05,, , , , , , ,
, , ,002/STM/MKT-SPK/I/24, ,Penagihan 2,20%,13040000, ,2024-04-02, ,2024-04-02,, , , , , , ,
, , ,002/STM/MKT-SPK/I/24, ,Penagihan 3,20%,13040000, ,2024-05-06, ,2024-05-06,, , , , , , ,
, , ,002/STM/MKT-SPK/I/24, ,Penagihan 4,20%,13040000, ,2024-06-01, ,2024-06-03,, , , , , , ,
, , ,002/STM/MKT-SPK/I/24, ,Penagihan 5,10%,6520000, ,2025-05-01, ,2025-05-05,, , , , , , ,
, , ,002/STM/MKT-SPK/I/25, ,Penagihan 1,100%,61704900, ,2025-04-01, ,2025-04-16,, , , , , , ,
, , ,003/STM/MKT-SPK/I/25, ,Penagihan 1,100%,11000000, ,2025-02-01, ,2025-02-10,, , , , , , ,
, , ,004A/STM/MKT-SPK/I/25, ,Penagihan 1,100%,7000000, ,2025-02-01, ,2025-02-10,, , , , , , ,
, , ,004B/STM/MKT-SPK/I/25, ,Penagihan 1,100%,13000000, ,2025-03-01, ,2025-03-17,, , , , , , ,
, , ,004C/STM/MKT-SPK/I/25, ,Penagihan 1,100%,26000000, ,2025-02-01, ,2025-02-23,, , , , , , ,
, , ,005/STM/MKT-SPK/I/25, ,Penagihan 1,100%,10000000, ,2025-01-01, ,2025-01-23,, , , , , , ,
, , ,007/STM/MKT-SPK/I/25, ,Penagihan 1,50%,16600000, ,2025-09-01, ,2025-09-02,, , , , , , ,
, , ,007/STM/MKT-SPK/I/25, ,Penagihan 2,50%,16600000, ,2025-12-01, ,2025-12-22,, , , , , , ,
, , ,008/STM/MKT-SPK/I/24+C13, ,Penagihan 1,50%,58275000, ,2026-03-01, ,,, , , , , , ,
, , ,008/STM/MKT-SPK/I/24+C13, ,Penagihan 2,50%,58275000, ,2026-04-01, ,,, , , , , , ,
, , ,008/STM/MKT-SPK/I/25, ,Penagihan 1,100%,20000000, ,2025-06-01, ,2025-06-24,, , , , , , ,
, , ,009/STM/MKT-SPK/I/25, ,Penagihan 1,100%,5000000, ,2026-01-01, ,,, , , , , , ,
, , ,010/STM/MKT-SPK/I/24, ,Penagihan 1,30%,29372400, ,2024-01-01, ,2024-01-22,, , , , , , ,
, , ,010/STM/MKT-SPK/I/24, ,Penagihan 2,20%,19581600, ,2025-06-01, ,2025-06-09,, , , , , , ,
, , ,010/STM/MKT-SPK/I/24, ,Penagihan 3,20%,19581600, ,2025-02-01, ,2026-01-05,, , , , , , ,
, , ,010/STM/MKT-SPK/I/24, ,Penagihan 4,20%,19581600, ,2025-02-01, ,2025-02-04,, , , , , , ,
, , ,010/STM/MKT-SPK/I/24, ,Penagihan 5,10%,9790800, ,2024-02-01, ,2024-02-05,, , , , , , ,
, , ,010/STM/MKT-SPK/II/25, ,Penagihan 1,100%,33000000, ,2024-04-01, ,2024-04-02,, , , , , , ,
, , ,011/STM/MKT-SPK/II/25, ,Penagihan 1,40%,72800000, ,2024-06-01, ,2024-07-02,, , , , , , ,
, , ,011/STM/MKT-SPK/II/25, ,Penagihan 2,30%,54600000, ,2025-02-01, ,2025-02-04,, , , , , , ,
, , ,011/STM/MKT-SPK/II/25, ,Penagihan 3,20%,36400000, ,2025-05-01, ,2025-05-05,, , , , , , ,
, , ,011/STM/MKT-SPK/II/25, ,Penagihan 4,10%,18200000, ,2025-02-01, ,2025-02-23,, , , , , , ,
, , ,012/STM/MKT-SPK/II/25, ,Penagihan 1,100%,24000000, ,2025-02-23, ,2025-02-23,, , , , , , ,
, , ,013/STM/MKT-SPK/I/24, ,Penagihan 1,30%,24000000, ,2025-05-05, ,2025-05-05,, , , , , , ,
, , ,013/STM/MKT-SPK/I/24, ,Penagihan 2,30%,24000000, ,2025-07-04, ,2025-07-04,, , , , , , ,
, , ,013/STM/MKT-SPK/I/24, ,Penagihan 3,30%,24000000, ,2025-11-21, ,2025-11-21,, , , , , , ,
, , ,013/STM/MKT-SPK/I/24, ,Penagihan 4,10%,8000000, ,2025-02-18, ,2025-02-18,, , , , , , ,
, , ,013/STM/MKT-SPK/II/25, ,Penagihan 1,100%,21000000, ,2024-06-03, ,2024-06-03,, , , , , , ,
, , ,014/STM/MKT-SPK/II/25, ,Penagihan 1,100%,21000000, ,2024-07-02, ,2024-07-02,, , , , , , ,
, , ,015/STM/MKT-SPK/II/25, ,Penagihan 1,100%,20000000, ,2025-08-11, ,2025-08-11,, , , , , , ,
, , ,016/STM/MKT-SPK/II/25, ,Penagihan 1,100%,49175000, ,2026-09-01, ,,, , , , , , ,
, , ,017/STM/MKT-SPK/II/25, ,Penagihan 1,100%,27000000, ,2025-03-17, ,2025-03-17,, , , , , , ,
, , ,021/STM/MKT-SPK/II/25, ,Penagihan 1,30%,23400000, ,2025-02-22, ,2025-02-22,, , , , , , ,
, , ,021/STM/MKT-SPK/II/25, ,Penagihan 2,25%,19500000, ,2025-02-18, ,2025-02-18,, , , , , , ,
