"Informasi Rekening - Mutasi Rekening"," "," "," "," ",

"No. rekening : 4364000300"
"Nama : SENTRAL SUSTAINABILITY C"
"Periode : 01/10/2025 - 31/10/2025"
"Kode Mata Uang : Rp"
"Tanggal Transaksi","Keterangan","Cabang","Jumlah","Saldo"
"02/10","BI-FAST DB TRANSFER   KE 028 FIKRI DARMAWAN ARI KBB    ","0000","829,500.00 DB","82,165,538.15"
"02/10","BI-FAST DB BIAYA TXN  KE 028 FIKRI DARMAWAN ARI KBB    ","0000","2,500.00 DB","82,163,038.15"
"02/10","TRSF E-BANKING DB 0210/FTSCY/WS95051 1874000.00 RQ-2025-00060 RQ-2025-00077 MASIKA ARINAL S  ","0436","1,874,000.00 DB","80,289,038.15"
"02/10","TRSF E-BANKING DB 0210/FTSCY/WS95051 764000.00 RQ-2025-00083 MUHAMMAD RIZKY YUD   ","0436","764,000.00 DB","79,525,038.15"
"02/10","TRSF E-BANKING DB 0210/FTSCY/WS95051 1200000.00 KS-2025-00216 Kasbon  Akomodasi MUHAMMAD RIZKY YUD  ","0436","1,200,000.00 DB","78,325,038.15"
"02/10","SWITCHING DB TRF        KE 087 INTERTEK UTAMA SER KBB    ","0998","8,045,752.00 DB","70,279,286.15"
"02/10","SWITCHING DB BIAYA TXN  KE 087 INTERTEK UTAMA SER KBB    ","0998","6,500.00 DB","70,272,786.15"
"03/10","TRSF E-BANKING CR 0310/FTSCY/WS95031 25002.00 Kelebihan Kasbon T raining GRK MUHAMMAD RIZKY YUD  ","0496","25,002.00 CR","70,297,788.15"
"10/10","TRSF E-BANKING CR 1010/FTSCY/WS95051 45000000.00 Piutang PT Sustain September SENTRAL TEHNOLOGI  ","0436","45,000,000.00 CR","115,297,788.15"
"10/10","TRSF E-BANKING DB 1010/FTSCY/WS95051 3991244.00 Piutang Lain-Lain Syabani SENTRAL TEHNOLOGI  ","0436","3,991,244.00 DB","111,306,544.15"
"10/10","TRSF E-BANKING DB 1010/FTSCY/WS95051 2543732.00 Piutang Lain-Lain Cahyadi SENTRAL TEHNOLOGI  ","0436","2,543,732.00 DB","108,762,812.15"
"10/10","TRSF E-BANKING DB 1010/FTSCY/WS95051 50000000.00 Piutang PT STM oKTOBER 2025 SENTRAL TEHNOLOGI  ","0436","50,000,000.00 DB","58,762,812.15"
"10/10","BYR VIA E-BANKING       ","0206","6,111,329.00 DB","52,651,483.15"
"24/10","TRSF E-BANKING CR 2410/FTSCY/WS95051 10000000.00 piutang PT Sustain Oktober 2025 SENTRAL TEHNOLOGI  ","0436","10,000,000.00 CR","62,651,483.15"
"24/10","TRSF E-BANKING DB 2410/FTSCY/WS95051 853000.00 RQ-2025-00096 MUHAMMAD RIZKY YUD   ","0436","853,000.00 DB","61,798,483.15"
"24/10","TRSF E-BANKING DB 2410/FTSCY/WS95051 3420000.00 RQ-2025-00101 CAHYADI   ","0436","3,420,000.00 DB","58,378,483.15"
"24/10","TRSF E-BANKING DB 2410/FTSCY/WS95051 6305000.00 RQ-2025-00103 SYABANI ABDULLAH A   ","0436","6,305,000.00 DB","52,073,483.15"
"24/10","TRSF E-BANKING DB 2410/FTSCY/WS95051 1328000.00 RQ-2025-00105 MASIKA ARINAL S   ","0436","1,328,000.00 DB","50,745,483.15"
"24/10","TRSF E-BANKING DB 2410/FTSCY/WS95051 6250000.00 KS-2025-00239 Kasb Sidang - Alldylas MASIKA ARINAL S  ","0436","6,250,000.00 DB","44,495,483.15"
"24/10","SWITCHING DB TRF        KE 008 ADHIKARILAB INDONE KBB    ","0998","484,000.00 DB","44,011,483.15"
"24/10","SWITCHING DB BIAYA TXN  KE 008 ADHIKARILAB INDONE KBB    ","0998","6,500.00 DB","44,004,983.15"
"24/10","TRSF E-BANKING DB 2410/FTSCY/WS95051 15000000.00 KS-2025-00239 0165REQV2025 MASIKA ARINAL S  ","0436","15,000,000.00 DB","29,004,983.15"
"24/10","SWITCHING DB TRF        KE 008 ADY DHARMAWAN BASR KBB    ","0998","24,368,500.00 DB","4,636,483.15"
"24/10","SWITCHING DB BIAYA TXN  KE 008 ADY DHARMAWAN BASR KBB    ","0998","6,500.00 DB","4,629,983.15"
"30/10","TRSF E-BANKING CR 2910/FTSCY/WS95051 73000000.00 Piutang PT Sustain Gaji Oktober SENTRAL TEHNOLOGI  ","0000","73,000,000.00 CR","77,629,983.15"
"31/10","TRSF E-BANKING DB 3110/FTSCY/WS95051 15655113.00 Salary Oktober 25 CAHYADI   ","0436","15,655,113.00 DB","61,974,870.15"
"31/10","TRSF E-BANKING DB 3110/FTSCY/WS95051 14471938.00 Salary oktober 25 SYABANI ABDULLAH A   ","0436","14,471,938.00 DB","47,502,932.15"
"31/10","TRSF E-BANKING DB 3110/FTSCY/WS95051 7872987.00 Salary oktober 25 TRI AMDANI KUMBASA   ","0436","7,872,987.00 DB","39,629,945.15"
"31/10","TRSF E-BANKING DB 3110/FTSCY/WS95051 10388032.00 Salary Oktober 25 MUHAMMAD RIZKY YUD   ","0436","10,388,032.00 DB","29,241,913.15"
"31/10","TRSF E-BANKING DB 3110/FTSCY/WS95051 13229117.00 salary Oktober 25 MASIKA ARINAL S   ","0436","13,229,117.00 DB","16,012,796.15"
"31/10","TRSF E-BANKING DB 3110/FTSCY/WS95051 6157626.00 Salary Oktober 25 MUHAMMAD JAUHAR FI   ","0436","6,157,626.00 DB","9,855,170.15"
"31/10","TRSF E-BANKING DB 3110/FTSCY/WS95051 4704375.00 Komisi HSE -Cahyad Oktober 2025 DWIAYU HADILAWATI  ","0436","4,704,375.00 DB","5,150,795.15"
