Informasi Rekening - Mutasi Rekening, , , , 
,,,,
No. rekening : 4363005287,,,,
Nama : SENTRAL TEHNOLOGI MANAGE,,,,
Periode : 01/09/2025 - 30/09/2025,,,,
Kode Mata Uang : Rp,,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah,Saldo
18-Sep,TRSF E-BANKING DB 1809/FTSCY/WS95051 210888.00 Kekurang 0021/REQ/V/2025 HASIHOLAN SIMANJUN  ,436,"210,888.00 DB","147,803,961.86"
18-Sep,TRSF E-BANKING DB 1809/FTSCY/WS95051 618694.00 0099/REQ/V/2025 kelebihan Amdani SENTRAL SUSTAINABI  ,436,"618,694.00 DB","147,185,267.86"
18-Sep,TRSF E-BANKING DB 1809/FTSCY/WS95051 536177.00 0092/REQ/V/2025 Kelebihan Cahyadi SENTRAL SUSTAINABI  ,436,"536,177.00 DB","146,649,090.86"
19-Sep,BI-FAST DB TRANSFER   KE 028 PT. VUCA STRATEGI KBB    ,0,"50,000,000.00 DB","96,649,090.86"
19-Sep,BI-FAST DB BIAYA TXN  KE 028 PT. VUCA STRATEGI KBB    ,0,"2,500.00 DB","96,646,590.86"
22-Sep,KR OTOMATIS LLG-MANDIRI KIMIA FARMA TBK inv183 250922001370378652   ,938,"35,770,000.00 CR","132,416,590.86"
22-Sep,TRSF E-BANKING CR 2209/FTSCY/WS95031 28943.00 klbhn kasbon PR 91 630 dan 44142 LARAS ANINGRUM  ,5530,"28,943.00 CR","132,445,533.86"
22-Sep,BI-FAST CR TRANSFER   DR 009 WASKITA KARYA REAL     ,0,"20,670,000.00 CR","153,115,533.86"
23-Sep,BI-FAST CR TRANSFER   DR 008 KAWASAN INDUSTRI G     ,0,"51,532,700.00 CR","204,648,233.86"
23-Sep,KR OTOMATIS LLG-HSBC INDONESIA PT BEHN MEYER CHEM /INV/224/STM/2025 250923001371089682   ,938,"26,160,000.00 CR","230,808,233.86"
23-Sep,KR OTOMATIS LLG-ANZ INDONESIA INDOPORLEN PT 2025/STMV3/03431 250923001371360293   ,938,"11,304,940.00 CR","242,113,173.86"
24-Sep,KR OTOMATIS LLG-MANDIRI CIPTA RIZQI ENERGI Dokumen Andalalin PrINV CRE 250 dan 250924001371625148  ,938,"116,630,000.00 CR","358,743,173.86"
25-Sep,KR OTOMATIS LLG-OCBC NISP NICHIRIN INDONESIA 234/STM/2025 250925001371974775   ,938,"15,260,000.00 CR","374,003,173.86"
25-Sep,BI-FAST DB TRANSFER   KE 028 PT. VUCA STRATEGI KBB    ,0,"6,650,000.00 DB","367,353,173.86"
25-Sep,BI-FAST DB BIAYA TXN  KE 028 PT. VUCA STRATEGI KBB    ,0,"2,500.00 DB","367,350,673.86"
26-Sep,BI-FAST DB TRANSFER   KE 028 PT. SENTRAL TEHNOL KBB    ,0,"54,183,735.00 DB","313,166,938.86"
26-Sep,BI-FAST DB BIAYA TXN  KE 028 PT. SENTRAL TEHNOL KBB    ,0,"2,500.00 DB","313,164,438.86"
26-Sep,"KR OTOMATIS LLG-PT BANK SMBC I AISIN INDONESIA, P I.241/STM/2025 250926001373312322   ",938,"19,620,000.00 CR","332,784,438.86"
26-Sep,TRSF E-BANKING DB 2609/FTSCY/WS95051 33000000.00 Piutang Pt Sustain September 2025 SENTRAL SUSTAINABI  ,436,"33,000,000.00 DB","299,784,438.86"
26-Sep,TRSF E-BANKING DB 2609/FTSCY/WS95051 70000.00 Kelebihan - KS-202 KS-2025-00149 SENTRAL SUSTAINABI  ,436,"70,000.00 DB","299,714,438.86"
26-Sep,BI-FAST DB TRANSFER   KE 028 PT. VUCA STRATEGI KBB    ,0,"100,000,000.00 DB","199,714,438.86"
26-Sep,BI-FAST DB BIAYA TXN  KE 028 PT. VUCA STRATEGI KBB    ,0,"2,500.00 DB","199,711,938.86"
26-Sep,BI-FAST DB TRANSFER   KE 028 PT. VUCA STRATEGI KBB    ,0,"60,000,000.00 DB","139,711,938.86"
26-Sep,BI-FAST DB BIAYA TXN  KE 028 PT. VUCA STRATEGI KBB    ,0,"2,500.00 DB","139,709,438.86"
26-Sep,TRSF E-BANKING DB 2609/FTSCY/WS95051 19000000.00 Piutang PT Sustain September 2025 SENTRAL SUSTAINABI  ,436,"19,000,000.00 DB","120,709,438.86"
29-Sep,KR OTOMATIS LLG-JPMORGAN CHASE P.T. SOFTEX INDONE SP = PT SENTRAL TE HNOLOGI MANAGEMEN 250929001373505165  ,938,"15,914,000.00 CR","136,623,438.86"
29-Sep,KR OTOMATIS LLG-PT BANK SMBC I TOKAI TOYOTA AUTO 250929001373683409    ,938,"697,600.00 CR","137,321,038.86"
29-Sep,BI-FAST CR TRANSFER   DR 213 ANNISA NUR ROHMAH     ,0,"200,000.00 CR","137,521,038.86"
30-Sep,TRSF E-BANKING CR 3009/FTSCY/WS95321 BCA250925161335466 INHOUSE TRAINING A PQP 3rd EDITION GAJAH TUNGGAL TBK  ,1,"28,340,000.00 CR","165,861,038.86"
30-Sep,DB OTOMATIS IBSPTSETMA SMEMFTS EFT53795 04360091    ,0,"120,302,047.09 DB","45,558,991.77"
30-Sep,TRSF E-BANKING DB 3009/TRCHG/0000100 BIAYA MFTS SME Payroll Contingenc 04360091 300925   ,436,"75,000.00 DB","45,483,991.77"
30-Sep,TRSF E-BANKING CR 3009/FTSCY/WS95031 500000.00 IRHAM FIKRI    ,6850,"500,000.00 CR","45,983,991.77"
30-Sep,BIAYA ADM       ,0,"30,000.00 DB","45,953,991.77"
30-Sep,BUNGA       ,0,"65,963.12 CR","46,019,954.89"
30-Sep,PAJAK BUNGA       ,0,"13,192.62 DB","46,006,762.27"
"Saldo Awal : 252,081,128.86",,,,
"Mutasi Debet : 811,822,263.71",30,,,
"Mutasi Kredit : 605,747,897.12",36,,,
"Saldo Akhir : 46,006,762.27",,,,
