"Informasi Rekening - Mutasi Rekening"," "," "," "," ",

"No. rekening : 4363005287"
"Nama : SENTRAL TEHNOLOGI MANAGE"
"Periode : 01/11/2025 - 30/11/2025"
"Kode Mata Uang : Rp"
"Tanggal Transaksi","Keterangan","Cabang","Jumlah","Saldo"
"03/11","TRSF E-BANKING DB 0311/FTSCY/WS95051 56000000.00 PInjaman Sustain SENTRAL SUSTAINABI   ","0436","56,000,000.00 DB","358,506.77"
"03/11","KR OTOMATIS LLG-PERMATA PT GARUDA METALIND SENTRAL TEHNOLOGI -INV.283/STM/2025 251103001387580620  ","0938","50,140,000.00 CR","50,498,506.77"
"04/11","TRSF E-BANKING CR 0411/FTSCY/WS95031 200000.00 RahasiaProgramKerj a DWI SETYANING SUNU  ","7620","200,000.00 CR","50,698,506.77"
"04/11","BI-FAST DB TRANSFER   KE 028 PT. VUCA STRATEGI KBB    ","0000","20,000,000.00 DB","30,698,506.77"
"04/11","BI-FAST DB BIAYA TXN  KE 028 PT. VUCA STRATEGI KBB    ","0000","2,500.00 DB","30,696,006.77"
"04/11","TRSF E-BANKING DB 0411/FTSCY/WS95051 30000000.00 Piutang Pt Sustain Oktober SENTRAL SUSTAINABI  ","0436","30,000,000.00 DB","696,006.77"
"04/11","BI-FAST CR TRANSFER   DR 009 DEWI MITA IRMAWATI     ","0000","200,000.00 CR","896,006.77"
"05/11","BI-FAST CR TRANSFER   DR 042 ASAHIMAS FLAT GLAS     ","0000","5,450,000.00 CR","6,346,006.77"
"05/11","BI-FAST CR TRANSFER   DR 042 NIPPON CARBIDE IND     ","0000","35,970,000.00 CR","42,316,006.77"
"05/11","TRSF E-BANKING CR 0511/FTSCY/WS95031 527000.00 pengembalian budge t PELNI SORONG HASIHOLAN SIMANJUN  ","0343","527,000.00 CR","42,843,006.77"
"07/11","BI-FAST DB TRANSFER   KE 028 PT. VUCA STRATEGI KBB    ","0000","35,000,000.00 DB","7,843,006.77"
"07/11","BI-FAST DB BIAYA TXN  KE 028 PT. VUCA STRATEGI KBB    ","0000","2,500.00 DB","7,840,506.77"
"10/11","KR OTOMATIS LLG-KEB HANA SUKSES CIPTA MAKMU SUKSES CIPTA MAKMU R 251110001390490663  ","0938","23,979,000.00 CR","31,819,506.77"
"10/11","BYR VIA E-BANKING       ","0206","3,769,250.00 DB","28,050,256.77"
"10/11","BYR VIA E-BANKING       ","0206","154,833.00 DB","27,895,423.77"
"12/11","BI-FAST CR TRANSFER   DR 042 OTICS INDONESIA, P     ","0000","10,900,000.00 CR","38,795,423.77"
"13/11","TRSF E-BANKING CR 1311/FTSCY/WS95051 18315000.00 Pembayaran Inv 284/STM/2025 GARUDA ALUMINIUM N  ","5380","18,315,000.00 CR","57,110,423.77"
"13/11","TRSF E-BANKING CR 1311/FTSCY/WS95051 15042000.00 291/STM/2025 DHARMESTA SWASTI M   ","0005","15,042,000.00 CR","72,152,423.77"
"14/11","TRSF E-BANKING CR 1411/FTSCY/WS95051 21800000.00 inv.273 SARAKAMANDIRI SEME   ","5720","21,800,000.00 CR","93,952,423.77"
"14/11","TRSF E-BANKING DB 1411/FTSCY/WS95051 30769062.00 PPN Bulan September 2025 SENTRAL TEHNOLOGI  ","0436","30,769,062.00 DB","63,183,361.77"
"14/11","TRSF E-BANKING DB 1411/FTSCY/WS95051 10679383.00 BPJS Ketenagakerja SENTRAL TEHNOLOGI   ","0436","10,679,383.00 DB","52,503,978.77"
"14/11","TRSF E-BANKING DB 1411/FTSCY/WS95051 527000.00 KS-2025-00258 0175/REQ/V/2025 SENTRAL SUSTAINABI  ","0436","527,000.00 DB","51,976,978.77"
"14/11","BI-FAST DB TRANSFER   KE 028 PT. VUCA STRATEGI KBB    ","0000","20,000,000.00 DB","31,976,978.77"
"14/11","BI-FAST DB BIAYA TXN  KE 028 PT. VUCA STRATEGI KBB    ","0000","2,500.00 DB","31,974,478.77"
"14/11","KR OTOMATIS LLG-PT BANK SMBC I DAIKIN INDUSTRIES 3700001767,2025/ST M-V3-0355(6104000) 251114001391884334  ","0938","6,104,000.00 CR","38,078,478.77"
"17/11","BI-FAST CR TRANSFER   DR 042 INDONESIA KOITO, P     ","0000","7,630,000.00 CR","45,708,478.77"
"17/11","KR OTOMATIS LLG-PT BANK SMBC I RESONAC MATERIALS 290/STM/25 251117001392467740   ","0938","35,968,000.00 CR","81,676,478.77"
"17/11","TRSF E-BANKING CR 1711/FTSCY/WS95051 26362500.00 Termin3 ISO inv298 Fp 2500356218171 INTI KEMASAN ALUMI  ","6440","26,362,500.00 CR","108,038,978.77"
"17/11","SWITCHING CR TRF        DR 008 SUMIDEN SERASI WIR PLAZA MANDI    ","0998","11,499,500.00 CR","119,538,478.77"
"18/11","KR OTOMATIS LLG-PANIN CIPTA NISSIN INDUS SENTRAL TEHNOLOGI INV.090.DP.2 251118001393068117  ","0938","89,380,000.00 CR","208,918,478.77"
"18/11","TRSF E-BANKING CR 1811/FTSCY/WS95051 25070000.00 SENTRAL TEHNOLOGI- INV 293 GARUDA METALUTAMA  ","0001","25,070,000.00 CR","233,988,478.77"
"18/11","BI-FAST DB TRANSFER   KE 028 PT. SENTRAL TEHNOL KBB    ","0000","50,000,000.00 DB","183,988,478.77"
"18/11","BI-FAST DB BIAYA TXN  KE 028 PT. SENTRAL TEHNOL KBB    ","0000","2,500.00 DB","183,985,978.77"
"18/11","BI-FAST DB TRANSFER   KE 028 PT. SENTRAL TEHNOL KBB    ","0000","50,000,000.00 DB","133,985,978.77"
"18/11","BI-FAST DB BIAYA TXN  KE 028 PT. SENTRAL TEHNOL KBB    ","0000","2,500.00 DB","133,983,478.77"
"18/11","BI-FAST DB TRANSFER   KE 028 PT. SENTRAL TEHNOL KBB    ","0000","50,000,000.00 DB","83,983,478.77"
"18/11","BI-FAST DB BIAYA TXN  KE 028 PT. SENTRAL TEHNOL KBB    ","0000","2,500.00 DB","83,980,978.77"
"20/11","BI-FAST DB TRANSFER   KE 028 PT. VUCA STRATEGI KBB    ","0000","25,000,000.00 DB","58,980,978.77"
"20/11","BI-FAST DB BIAYA TXN  KE 028 PT. VUCA STRATEGI KBB    ","0000","2,500.00 DB","58,978,478.77"
"20/11","TRSF E-BANKING DB 2011/FTSCY/WS95051 10000000.00 Piutang PT Sustain November SENTRAL SUSTAINABI  ","0436","10,000,000.00 DB","48,978,478.77"
"20/11","TRSF E-BANKING CR 2011/FTSCY/WS95051 18315000.00 Pembayaran Invoice 284STM2025 GARUDA ALUMINIUM N  ","5380","18,315,000.00 CR","67,293,478.77"
"21/11","KR OTOMATIS LLG-MIZUHO INDONES LINTEC INDONESIA INV.285/STM/2025 251121001394410495   ","0938","11,990,000.00 CR","79,283,478.77"
"21/11","BI-FAST CR TRANSFER   DR 016 BINTANG SAMUDERA A     ","0000","19,980,000.00 CR","99,263,478.77"
"24/11","TRSF E-BANKING CR 2411/FTSCY/WS95031 1361373.00 kembali budget MCB Batam HASIHOLAN SIMANJUN  ","0343","1,361,373.00 CR","100,624,851.77"
"25/11","TRSF E-BANKING CR 2511/ACSCY/0000100 25112100546422 2025/STM-V3/03981 Pembelian Kebutuha SUZUKI INDOMOBIL M  ","0000","2,588,750.00 CR","103,213,601.77"
"25/11","TRSF E-BANKING CR 2511/ACSCY/0000100 25112100546422 2025/STM-V3/03980 Pembelian Kebutuha SUZUKI INDOMOBIL M  ","0000","5,886,000.00 CR","109,099,601.77"
"25/11","TRSF E-BANKING CR 2511/ACSCY/0000100 25112100546422 2025/STM-V3/03979 Pembelian Kebutuha SUZUKI INDOMOBIL M  ","0000","490,500.00 CR","109,590,101.77"
"25/11","TRSF E-BANKING CR 2511/ACSCY/0000100 25112100546422 2025/STM-V3/03978 Pembelian Kebutuha SUZUKI INDOMOBIL M  ","0000","1,002,800.00 CR","110,592,901.77"
"25/11","TRSF E-BANKING CR 2511/ACSCY/0000100 25112100546422 2025/STM-V3/03761 Pembelian Kebutuha SUZUKI INDOMOBIL M  ","0000","1,090,000.00 CR","111,682,901.77"
"25/11","TRSF E-BANKING CR 2511/ACSCY/0000100 25112100546422 2025/STM-V3/03760 Pembelian Kebutuha SUZUKI INDOMOBIL M  ","0000","3,882,471.00 CR","115,565,372.77"
"25/11","BI-FAST CR TRANSFER   DR 042 HITACHI CONSTRUCTI     ","0000","32,700,000.00 CR","148,265,372.77"
"25/11","BI-FAST CR TRANSFER   DR 042 NIFCO INDONESIA, P     ","0000","5,992,500.00 CR","154,257,872.77"
"25/11","BI-FAST CR TRANSFER   DR 047 Jasco Chemicals In     ","0000","6,041,325.00 CR","160,299,197.77"
"26/11","BI-FAST CR TRANSFER   DR 042 PANASONIC GOBEL EN     ","0000","8,066,000.00 CR","168,365,197.77"
