Informasi Rekening - Mutasi Rekening, , , , 
,,,,
No. rekening : 4364000300,,,,
Nama : SENTRAL SUSTAINABILITY C,,,,
Periode : 01/09/2025 - 30/09/2025,,,,
Kode Mata Uang : Rp,,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah,Saldo
04-Sep,"TRSF E-BANKING DB 0409/FTSCY/WS95051 3304500.00 RQ-2025-00061 02-30 Juni, 03,04, CAHYADI  ",436,"3,304,500.00 DB","9,664,638.15"
04-Sep,TRSF E-BANKING DB 0409/FTSCY/WS95051 199900.00 ER-2025-00037 Petty Cash Sustain FIKRI DARMAWAN ARI  ,436,"199,900.00 DB","9,464,738.15"
04-Sep,TRSF E-BANKING DB 0409/FTSCY/WS95051 220000.00 KS-2025-00203 0155REQV2025 LITA ERIKA  ,436,"220,000.00 DB","9,244,738.15"
04-Sep,TRSF E-BANKING DB 0409/FTSCY/WS95051 2000000.00 KS-2025-00206 0154REQV2025 SYABANI ABDULLAH A  ,436,"2,000,000.00 DB","7,244,738.15"
08-Sep,TRSF E-BANKING DB 0809/FTSCY/WS95051 6370000.00 160/KEU/LHL/VIII/2 AMDAL AN JAUHAR LINGKUNGAN HIDUP L  ,436,"6,370,000.00 DB","874,738.15"
08-Sep,TRSF E-BANKING CR 0809/FTSCY/WS95271 791139.00 Cipta rizky energy MASIKA ARINAL S   ,6040,"791,139.00 CR","1,665,877.15"
10-Sep,BYR VIA E-BANKING       ,206,"240,000.00 DB","1,425,877.15"
11-Sep,TRSF E-BANKING CR 1109/FTSCY/WS95051 50000000.00 piutang sustain September 25 SENTRAL TEHNOLOGI  ,436,"50,000,000.00 CR","51,425,877.15"
11-Sep,BYR VIA E-BANKING       ,206,"6,921,901.00 DB","44,503,976.15"
11-Sep,BI-FAST CR TRANSFER   DR 028 LITA ERIKA     ,0,"80,000.00 CR","44,583,976.15"
11-Sep,SWITCHING DB TRF        KE 009 Sdr INDRA BERLIANA KBB    ,998,"9,743,500.00 DB","34,840,476.15"
11-Sep,SWITCHING DB BIAYA TXN  KE 009 Sdr INDRA BERLIANA KBB    ,998,"6,500.00 DB","34,833,976.15"
11-Sep,SWITCHING DB TRF        KE 008 LYA CATURIANTI KBB    ,998,"4,868,500.00 DB","29,965,476.15"
11-Sep,SWITCHING DB BIAYA TXN  KE 008 LYA CATURIANTI KBB    ,998,"6,500.00 DB","29,958,976.15"
11-Sep,TRSF E-BANKING DB 1109/FTSCY/WS95051 4633404.00 BPJS Naker SSC Agustus 2025 SENTRAL TEHNOLOGI  ,436,"4,633,404.00 DB","25,325,572.15"
12-Sep,KR OTOMATIS LLG-MIZUHO INDONES IRON WIRE WORKS IN INV. 003/SSC/2025 250912001367896911   ,938,"40,349,300.00 CR","65,674,872.15"
13-Sep,TRSF E-BANKING DB 1309/FTSCY/WS95051 4750000.00 158 req v 2025 SYABANI ABDULLAH A   ,436,"4,750,000.00 DB","60,924,872.15"
13-Sep,TRSF E-BANKING DB 1309/FTSCY/WS95051 4000000.00 159 REQ V 2025 SYABANI ABDULLAH A   ,436,"4,000,000.00 DB","56,924,872.15"
18-Sep,TRSF E-BANKING CR 1809/FTSCY/WS95051 618694.00 0099/REQ/V/2025 kelebihan Amdani SENTRAL TEHNOLOGI  ,436,"618,694.00 CR","57,543,566.15"
18-Sep,TRSF E-BANKING CR 1809/FTSCY/WS95051 536177.00 0092/REQ/V/2025 Kelebihan Cahyadi SENTRAL TEHNOLOGI  ,436,"536,177.00 CR","58,079,743.15"
18-Sep,TRSF E-BANKING DB 1809/FTSCY/WS95051 4750000.00 KS-2025-00224 0160/REQ/V/2025 SYABANI ABDULLAH A  ,436,"4,750,000.00 DB","53,329,743.15"
25-Sep,BI-FAST DB TRANSFER   KE 028 NASRULLAH KBB    ,0,"1,467,250.00 DB","51,862,493.15"
25-Sep,BI-FAST DB BIAYA TXN  KE 028 NASRULLAH KBB    ,0,"2,500.00 DB","51,859,993.15"
25-Sep,SWITCHING DB TRF        KE 087 INTERTEK UTAMA SER KBB    ,998,"15,749,127.00 DB","36,110,866.15"
25-Sep,SWITCHING DB BIAYA TXN  KE 087 INTERTEK UTAMA SER KBB    ,998,"6,500.00 DB","36,104,366.15"
25-Sep,BYR VIA E-BANKING       ,206,"14,087,700.00 DB","22,016,666.15"
26-Sep,KR OTOMATIS LLG-ANZ INDONESIA PREFORMED LINE PRO 54 250926001373254583   ,938,"49,104,500.00 CR","71,121,166.15"
26-Sep,TRSF E-BANKING CR 2609/FTSCY/WS95051 33000000.00 Piutang Pt Sustain September 2025 SENTRAL TEHNOLOGI  ,436,"33,000,000.00 CR","104,121,166.15"
26-Sep,TRSF E-BANKING CR 2609/FTSCY/WS95051 70000.00 Kelebihan - KS-202 KS-2025-00149 SENTRAL TEHNOLOGI  ,436,"70,000.00 CR","104,191,166.15"
26-Sep,TRSF E-BANKING CR 2609/FTSCY/WS95051 19000000.00 Piutang PT Sustain September 2025 SENTRAL TEHNOLOGI  ,436,"19,000,000.00 CR","123,191,166.15"
30-Sep,KR OTOMATIS LLG-MIZUHO INDONES IRON WIRE WORKS IN INV. 005/SSC/2025 250930001374637903   ,938,"51,799,750.00 CR","174,990,916.15"
30-Sep,TRSF E-BANKING DB 3009/FTSCY/WS95051 11900264.00 Komisi HSE - Septe September 2025 - B FENTI RACHMAYUNIAR  ,436,"11,900,264.00 DB","163,090,652.15"
30-Sep,TRSF E-BANKING DB 3009/FTSCY/WS95051 11065748.00 Komisi HSE Cahyadi September 2025 - C INDAH MELIWATI  ,436,"11,065,748.00 DB","152,024,904.15"
30-Sep,TRSF E-BANKING DB 3009/FTSCY/WS95051 15738813.00 Salary HSE September 2025 CAHYADI  ,436,"15,738,813.00 DB","136,286,091.15"
30-Sep,TRSF E-BANKING DB 3009/FTSCY/WS95051 14550988.00 Salary HSE September 2025 SYABANI ABDULLAH A  ,436,"14,550,988.00 DB","121,735,103.15"
30-Sep,TRSF E-BANKING DB 3009/FTSCY/WS95051 20188899.00 Salary HSE September 2025 TRI AMDANI KUMBASA  ,436,"20,188,899.00 DB","101,546,204.15"
30-Sep,TRSF E-BANKING DB 3009/FTSCY/WS95051 7107658.00 Salary HSE September 2025 MUHAMMAD RIZKY YUD  ,436,"7,107,658.00 DB","94,438,546.15"
30-Sep,TRSF E-BANKING DB 3009/FTSCY/WS95051 7935158.00 Salary HSE September 2025 MASIKA ARINAL S  ,436,"7,935,158.00 DB","86,503,388.15"
30-Sep,TRSF E-BANKING DB 3009/FTSCY/WS95051 6190158.00 Salary HSE September 2025 MUHAMMAD JAUHAR FI  ,436,"6,190,158.00 DB","80,313,230.15"
30-Sep,BI-FAST DB TRANSFER   KE 008 NABILLAH RODHIFATU KBB    ,0,"2,500,000.00 DB","77,813,230.15"
30-Sep,BI-FAST DB BIAYA TXN  KE 008 NABILLAH RODHIFATU KBB    ,0,"2,500.00 DB","77,810,730.15"
30-Sep,TRSF E-BANKING CR 3009/FTSCY/WS95271 5214308.00 Pengembalian dic d an asahi MASIKA ARINAL S  ,6040,"5,214,308.00 CR","83,025,038.15"
30-Sep,BIAYA ADM       ,0,"30,000.00 DB","82,995,038.15"
"Saldo Awal : 12,969,138.15",,,,
"Mutasi Debet : 180,537,968.00",31,,,
"Mutasi Kredit : 250,563,868.00",12,,,
"Saldo Akhir : 82,995,038.15",,,,
