Informasi Rekening - Mutasi Rekening, , , , 
,,,,
No. rekening : 4363005287,,,,
Nama : SENTRAL TEHNOLOGI MANAGE,,,,
Periode : 01/12/2025 - 31/12/2025,,,,
Kode Mata Uang : Rp,,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah,Saldo
01-Dec,KR OTOMATIS LLG-MANDIRI ODIRA ENERGY KARAN 164/EXT/OEKA/XI/20 25 251201001399931459  ,938,"12,900,000.00 CR","14,315,337.73"
01-Dec,KR OTOMATIS LLG-MANDIRI ODIRA ENERGY KARAN 164/EXT/OEKA/XI/20 25 251201001399931460  ,938,"12,600,000.00 CR","26,915,337.73"
02-Dec,TRSF E-BANKING DB 0212/FTSCY/WS95051 10000000.00 Piutang sustain Pinjaman sustain SENTRAL SUSTAINABI  ,436,"10,000,000.00 DB","16,915,337.73"
02-Dec,TRSF E-BANKING DB 0212/FTSCY/WS95051 10000000.00 Pinjaman sustain Piutang sustain SENTRAL SUSTAINABI  ,436,"10,000,000.00 DB","6,915,337.73"
02-Dec,BI-FAST CR TRANSFER   DR 008 KAWASAN INDUSTRI G     ,0,"40,382,000.00 CR","47,297,337.73"
03-Dec,BI-FAST DB TRANSFER   KE 028 PT. VUCA STRATEGI KBB    ,0,"35,000,000.00 DB","12,297,337.73"
03-Dec,BI-FAST DB BIAYA TXN  KE 028 PT. VUCA STRATEGI KBB    ,0,"2,500.00 DB","12,294,837.73"
04-Dec,TRSF E-BANKING CR 0412/FTSCY/WS95051 38695000.00 INV.0044 DASA WINDU AGUNG P   ,5680,"38,695,000.00 CR","50,989,837.73"
05-Dec,KR OTOMATIS LLG-MUFG BANK LTD MITSUBISHI MOTORS 2025/STMV3/03900 251205001402085465   ,938,"6,466,425.00 CR","57,456,262.73"
08-Dec,BI-FAST CR TRANSFER   DR 008 JERRY AMNUR SITINJ     ,0,"147,700.00 CR","57,603,962.73"
08-Dec,KR OTOMATIS LLG-MULTI ARTA SEN MULTI INDOMANDIRI PT Multi Indo Mand iri 251208001402684203  ,938,"2,449,600.00 CR","60,053,562.73"
08-Dec,TRSF E-BANKING CR 0812/FTSCY/WS95031 777500.00 pengembalian BAI 1 9 Nov HASIHOLAN SIMANJUN  ,343,"777,500.00 CR","60,831,062.73"
10-Dec,TRSF E-BANKING CR 1012/FTSCY/WS95051 4033000.00 GRAKINDO MAJU SUKS    ,386,"4,033,000.00 CR","64,864,062.73"
