Informasi Rekening - Mutasi Rekening, , , , 
,,,,
No. rekening : 4363005287,,,,
Nama : SENTRAL TEHNOLOGI MANAGE,,,,
Periode : 01/10/2025 - 31/10/2025,,,,
Kode Mata Uang : Rp,,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah,Saldo
21-Oct,TRSF E-BANKING CR 2110/FTSCY/WS95051 7357500.00 252/STM/2025 Last Payment ISO ETHIX DISTRIBUSI N  ,8930,"7,357,500.00 CR","206,485,582.27"
22-Oct,"KR OTOMATIS LLG-UOB INDONESIA DETPAK INDONESIA,P PT SENTRAL TEHNOLO GI MANAGEMEN 251022001382313712  ",938,"5,995,000.00 CR","212,480,582.27"
23-Oct,KR OTOMATIS LLG-HSBC INDONESIA PT SOUTH PACIFIC V 2600104829 2600104 829 251023001382428884  ,938,"14,170,001.00 CR","226,650,583.27"
24-Oct,TRSF E-BANKING CR 2410/FTSCY/WS95031 200000.00 NIDYA MITA SARI NIDYA MITA SARI   ,486,"200,000.00 CR","226,850,583.27"
24-Oct,TRSF E-BANKING DB 2410/FTSCY/WS95051 10000000.00 piutang PT Sustain Oktober 2025 SENTRAL SUSTAINABI  ,436,"10,000,000.00 DB","216,850,583.27"
24-Oct,KR OTOMATIS LLG-PT BANK SMBC I NIPPO MECHATRONICS 255/STM/2025 251024001383496157   ,938,"7,083,000.00 CR","223,933,583.27"
24-Oct,TRSF E-BANKING CR 2410/FTSCY/WS95271 200000.00 U.Sertifikat & eBo ok an Hermansyah HERMANSYAH SKOM  ,7650,"200,000.00 CR","224,133,583.27"
24-Oct,KR OTOMATIS LLG-ANZ INDONESIA PREFORMED LINE PRO SENTRAL TEHNOLOGI MANAGEMENT 251024001383904028  ,938,"2,832,000.00 CR","226,965,583.27"
27-Oct,TRSF E-BANKING CR 2710/ACSCY/0000100 25102100535565 2025/STM-V3/03639 Pembelian Kebutuha SUZUKI INDOMOBIL M  ,0,"3,402,980.00 CR","230,368,563.27"
27-Oct,TRSF E-BANKING CR 2710/ACSCY/0000100 25102100535565 2025/STM-V3/03526 Pembelian Kebutuha SUZUKI INDOMOBIL M  ,0,"5,519,760.00 CR","235,888,323.27"
27-Oct,TRSF E-BANKING CR 2710/ACSCY/0000100 25102100535565 2025/STM-V3/03525 Pembelian Kebutuha SUZUKI INDOMOBIL M  ,0,"1,744,000.00 CR","237,632,323.27"
27-Oct,TRSF E-BANKING CR 2710/ACSCY/0000100 25102100535565 2025/STM-V3/03524 Pembelian Kebutuha SUZUKI INDOMOBIL M  ,0,"2,087,350.00 CR","239,719,673.27"
27-Oct,TRSF E-BANKING CR 2710/ACSCY/0000100 25102100535565 2025/STM-V3/03523 Pembelian Kebutuha SUZUKI INDOMOBIL M  ,0,"733,788.00 CR","240,453,461.27"
27-Oct,TRSF E-BANKING CR 2710/ACSCY/0000100 25102100535565 2025/STM-V3/03410 Pembelian Kebutuha SUZUKI INDOMOBIL M  ,0,"436,000.00 CR","240,889,461.27"
27-Oct,TRSF E-BANKING CR 2710/ACSCY/0000100 25102100535565 2025/STM-V3/03409 Pembelian Kebutuha SUZUKI INDOMOBIL M  ,0,"2,485,200.00 CR","243,374,661.27"
27-Oct,TRSF E-BANKING CR 2710/ACSCY/0000100 25102100535565 2025/STM-V3/03335 Pembelian Kebutuha SUZUKI INDOMOBIL M  ,0,"3,648,775.00 CR","247,023,436.27"
